lpq,toe,tos,wor,hvsl,hpp,lvl,accuracy_train,accuracy_test
-,-,-,-,-,-,X,42.37388724035608,22.916666666666664
-,-,-,-,-,X,-,76.43916913946587,38.54166666666667
-,-,-,-,-,X,X,80.1780415430267,44.79166666666667
-,-,-,-,X,-,-,28.427299703264097,20.833333333333336
-,-,-,-,X,-,X,52.99703264094956,26.041666666666668
-,-,-,-,X,X,-,78.81305637982196,33.33333333333333
-,-,-,-,X,X,X,81.00890207715133,42.70833333333333
-,-,-,X,-,-,-,30.56379821958457,19.791666666666664
-,-,-,X,-,-,X,60.534124629080125,32.29166666666667
-,-,-,X,-,X,-,78.04154302670622,43.75
-,-,-,X,-,X,X,81.60237388724035,47.91666666666667
-,-,-,X,X,-,-,42.37388724035608,21.875
-,-,-,X,X,-,X,66.05341246290801,16.666666666666664
-,-,-,X,X,X,-,81.12759643916914,44.79166666666667
-,-,-,X,X,X,X,82.67062314540058,43.75
-,-,X,-,-,-,-,73.76854599406528,29.166666666666668
-,-,X,-,-,-,X,79.40652818991097,36.45833333333333
-,-,X,-,-,X,-,88.30860534124629,38.54166666666667
-,-,X,-,-,X,X,89.31750741839762,41.66666666666667
-,-,X,-,X,-,-,70.62314540059347,31.25
-,-,X,-,X,-,X,79.82195845697329,34.375
-,-,X,-,X,X,-,88.30860534124629,39.58333333333333
-,-,X,-,X,X,X,89.13946587537092,41.66666666666667
-,-,X,X,-,-,-,81.36498516320475,34.375
-,-,X,X,-,-,X,83.91691394658753,32.29166666666667
-,-,X,X,-,X,-,89.08011869436201,41.66666666666667
-,-,X,X,-,X,X,89.55489614243324,45.83333333333333
-,-,X,X,X,-,-,79.16913946587538,31.25
-,-,X,X,X,-,X,84.27299703264094,30.208333333333332
-,-,X,X,X,X,-,89.25816023738872,41.66666666666667
-,-,X,X,X,X,X,89.31750741839762,45.83333333333333
-,X,-,-,-,-,-,73.70919881305637,33.33333333333333
-,X,-,-,-,-,X,76.55786350148368,37.5
-,X,-,-,-,X,-,86.11275964391692,38.54166666666667
-,X,-,-,-,X,X,86.94362017804154,42.70833333333333
-,X,-,-,X,-,-,74.77744807121661,30.208333333333332
-,X,-,-,X,-,X,77.68545994065282,37.5
-,X,-,-,X,X,-,86.70623145400593,38.54166666666667
-,X,-,-,X,X,X,86.05341246290801,40.625
-,X,-,X,-,-,-,81.72106824925815,35.41666666666667
-,X,-,X,-,-,X,84.03560830860533,36.45833333333333
-,X,-,X,-,X,-,87.59643916913946,44.79166666666667
-,X,-,X,-,X,X,88.3679525222552,47.91666666666667
-,X,-,X,X,-,-,81.06824925816024,37.5
-,X,-,X,X,-,X,85.28189910979228,33.33333333333333
-,X,-,X,X,X,-,87.95252225519287,43.75
-,X,-,X,X,X,X,88.3679525222552,44.79166666666667
-,X,X,-,-,-,-,85.16320474777447,32.29166666666667
-,X,X,-,-,-,X,85.99406528189911,37.5
-,X,X,-,-,X,-,90.56379821958457,42.70833333333333
-,X,X,-,-,X,X,90.56379821958457,41.66666666666667
-,X,X,-,X,-,-,84.21364985163204,32.29166666666667
-,X,X,-,X,-,X,83.50148367952522,36.45833333333333
-,X,X,-,X,X,-,89.73293768545994,42.70833333333333
-,X,X,-,X,X,X,90.26706231454006,40.625
-,X,X,X,-,-,-,89.61424332344214,36.45833333333333
-,X,X,X,-,-,X,88.6646884272997,35.41666666666667
-,X,X,X,-,X,-,90.97922848664687,42.70833333333333
-,X,X,X,-,X,X,90.86053412462908,44.79166666666667
-,X,X,X,X,-,-,88.486646884273,33.33333333333333
-,X,X,X,X,-,X,88.6053412462908,35.41666666666667
-,X,X,X,X,X,-,90.14836795252225,44.79166666666667
-,X,X,X,X,X,X,90.38575667655786,45.83333333333333
X,-,-,-,-,-,-,94.77744807121663,32.29166666666667
X,-,-,-,-,-,X,94.83679525222551,31.25
X,-,-,-,-,X,-,94.83679525222551,35.41666666666667
X,-,-,-,-,X,X,94.89614243323442,34.375
X,-,-,-,X,-,-,94.83679525222551,32.29166666666667
X,-,-,-,X,-,X,94.89614243323442,31.25
X,-,-,-,X,X,-,94.83679525222551,35.41666666666667
X,-,-,-,X,X,X,94.83679525222551,34.375
X,-,-,X,-,-,-,94.89614243323442,33.33333333333333
X,-,-,X,-,-,X,94.89614243323442,32.29166666666667
X,-,-,X,-,X,-,94.89614243323442,36.45833333333333
X,-,-,X,-,X,X,94.83679525222551,37.5
X,-,-,X,X,-,-,94.89614243323442,33.33333333333333
X,-,-,X,X,-,X,94.89614243323442,32.29166666666667
X,-,-,X,X,X,-,94.83679525222551,36.45833333333333
X,-,-,X,X,X,X,94.77744807121663,37.5
X,-,X,-,-,-,-,94.95548961424333,31.25
X,-,X,-,-,-,X,94.95548961424333,31.25
X,-,X,-,-,X,-,94.95548961424333,34.375
X,-,X,-,-,X,X,94.95548961424333,33.33333333333333
X,-,X,-,X,-,-,95.01483679525222,31.25
X,-,X,-,X,-,X,95.07418397626112,31.25
X,-,X,-,X,X,-,94.95548961424333,34.375
X,-,X,-,X,X,X,95.01483679525222,33.33333333333333
X,-,X,X,-,-,-,95.01483679525222,32.29166666666667
X,-,X,X,-,-,X,95.13353115727003,31.25
X,-,X,X,-,X,-,94.89614243323442,35.41666666666667
X,-,X,X,-,X,X,94.89614243323442,35.41666666666667
X,-,X,X,X,-,-,95.01483679525222,32.29166666666667
X,-,X,X,X,-,X,95.07418397626112,31.25
X,-,X,X,X,X,-,94.89614243323442,35.41666666666667
X,-,X,X,X,X,X,94.89614243323442,35.41666666666667
X,X,-,-,-,-,-,95.01483679525222,31.25
X,X,-,-,-,-,X,95.07418397626112,31.25
X,X,-,-,-,X,-,95.01483679525222,33.33333333333333
